slug,date,open,high,low,close,currency
EUR/BRL,24/10/2005,2.7015,2.7159,2.6935,2.7062,BRL
EUR/BRL,25/10/2005,2.7053,2.7422,2.6962,2.7404,BRL
EUR/BRL,26/10/2005,2.7391,2.7553,2.7285,2.7547,BRL
EUR/BRL,27/10/2005,2.7734,2.7844,2.6235,2.7788,BRL
EUR/BRL,28/10/2005,2.7779,2.784,2.7271,2.7325,BRL
EUR/BRL,31/10/2005,2.7319,2.7357,2.7139,2.7139,BRL
EUR/BRL,01/11/2005,2.6976,2.7104,2.6945,2.7104,BRL
EUR/BRL,02/11/2005,2.6978,2.7081,2.6849,2.6992,BRL
EUR/BRL,03/11/2005,2.6988,2.7027,2.6512,2.6536,BRL
EUR/BRL,04/11/2005,2.6523,2.6642,2.6097,2.6109,BRL
EUR/BRL,07/11/2005,2.6103,2.6145,2.5902,2.5999,BRL
EUR/BRL,08/11/2005,2.5983,2.5983,2.5657,2.5657,BRL
EUR/BRL,09/11/2005,2.5642,2.5673,2.5404,2.5588,BRL
EUR/BRL,10/11/2005,2.5572,2.5751,2.5236,2.5236,BRL
EUR/BRL,11/11/2005,2.5268,2.5354,2.519,2.5344,BRL
EUR/BRL,14/11/2005,2.5416,2.5839,2.534,2.5807,BRL
EUR/BRL,15/11/2005,2.5813,2.5867,2.5686,2.5857,BRL
EUR/BRL,16/11/2005,2.5845,2.5892,2.5556,2.5686,BRL
EUR/BRL,17/11/2005,2.5694,2.579,2.5535,2.5766,BRL
EUR/BRL,18/11/2005,2.5776,2.6223,2.5531,2.6187,BRL
EUR/BRL,21/11/2005,2.6169,2.6329,2.5947,2.6026,BRL
EUR/BRL,22/11/2005,2.6033,2.6557,2.5975,2.6538,BRL
EUR/BRL,23/11/2005,2.6503,2.6554,2.6233,2.6446,BRL
EUR/BRL,24/11/2005,2.6442,2.6535,2.6294,2.6374,BRL
EUR/BRL,25/11/2005,2.6347,2.637,2.6128,2.6172,BRL
EUR/BRL,28/11/2005,2.6129,2.6187,2.5818,2.6014,BRL
EUR/BRL,29/11/2005,2.6026,2.6052,2.5738,2.5782,BRL
EUR/BRL,30/11/2005,2.5793,2.61,2.5749,2.5976,BRL
EUR/BRL,01/12/2005,2.5968,2.6185,2.5835,2.6103,BRL
EUR/BRL,02/12/2005,2.6099,2.6099,2.5663,2.5864,BRL
EUR/BRL,05/12/2005,2.5815,2.5923,2.5804,2.5861,BRL
EUR/BRL,06/12/2005,2.5862,2.5893,2.5538,2.5653,BRL
EUR/BRL,07/12/2005,2.564,2.5761,2.5317,2.569,BRL
EUR/BRL,08/12/2005,2.5695,2.6319,2.5676,2.6231,BRL
EUR/BRL,09/12/2005,2.6242,2.6645,2.6163,2.659,BRL
EUR/BRL,12/12/2005,2.6555,2.7103,2.6555,2.7,BRL
EUR/BRL,13/12/2005,2.701,2.7093,2.6765,2.7001,BRL
EUR/BRL,14/12/2005,2.7008,2.7527,2.7005,2.7157,BRL
EUR/BRL,15/12/2005,2.7204,2.7638,2.7159,2.7479,BRL
EUR/BRL,16/12/2005,2.7465,2.8024,2.7432,2.788,BRL
EUR/BRL,19/12/2005,2.6951,2.8751,2.6951,2.8556,BRL
EUR/BRL,20/12/2005,2.8561,2.8561,2.6951,2.786,BRL
EUR/BRL,21/12/2005,2.7849,2.7908,2.7205,2.7296,BRL
EUR/BRL,22/12/2005,2.7275,2.7797,2.7127,2.7772,BRL
EUR/BRL,23/12/2005,2.7779,2.7923,2.7338,2.7459,BRL
EUR/BRL,26/12/2005,2.7443,2.7772,2.7379,2.7691,BRL
EUR/BRL,27/12/2005,2.7687,2.7984,2.7616,2.7684,BRL
EUR/BRL,28/12/2005,2.7678,2.8041,2.766,2.7716,BRL
EUR/BRL,29/12/2005,2.7712,2.7822,2.7407,2.7542,BRL
EUR/BRL,30/12/2005,2.7535,2.7688,2.7383,2.7667,BRL
EUR/BRL,02/01/2006,2.7668,2.771,2.7524,2.7588,BRL
EUR/BRL,03/01/2006,2.7637,2.8034,2.7637,2.8034,BRL
EUR/BRL,04/01/2006,2.8033,2.8148,2.6494,2.7668,BRL
EUR/BRL,05/01/2006,2.768,2.7711,2.7441,2.77,BRL
EUR/BRL,06/01/2006,2.7702,2.7833,2.7565,2.7726,BRL
EUR/BRL,09/01/2006,2.7682,2.7721,2.7114,2.719,BRL
EUR/BRL,10/01/2006,2.713,2.7366,2.7064,2.7263,BRL
EUR/BRL,11/01/2006,2.7256,2.7691,2.7235,2.7661,BRL
EUR/BRL,12/01/2006,2.7659,2.7748,2.7188,2.7388,BRL
EUR/BRL,13/01/2006,2.7381,2.7589,2.73,2.7573,BRL
EUR/BRL,16/01/2006,2.767,2.7744,2.748,2.7507,BRL
EUR/BRL,17/01/2006,2.7492,2.8055,2.7425,2.7872,BRL
EUR/BRL,18/01/2006,2.785,2.835,2.7807,2.8052,BRL
EUR/BRL,19/01/2006,2.8011,2.831,2.7582,2.776,BRL
EUR/BRL,20/01/2006,2.7752,2.7756,2.7363,2.7618,BRL
EUR/BRL,23/01/2006,2.7778,2.7977,2.7651,2.7749,BRL
EUR/BRL,24/01/2006,2.772,2.7754,2.7442,2.7465,BRL
EUR/BRL,25/01/2006,2.7451,2.7619,2.7442,2.7456,BRL
EUR/BRL,26/01/2006,2.7463,2.7584,2.7183,2.7205,BRL
EUR/BRL,27/01/2006,2.7214,2.7226,2.6696,2.6707,BRL
EUR/BRL,30/01/2006,2.6713,2.686,2.6579,2.6719,BRL
EUR/BRL,31/01/2006,2.6714,2.6947,2.6682,2.6857,BRL
EUR/BRL,01/02/2006,2.6859,2.6942,2.6753,2.6825,BRL
EUR/BRL,02/02/2006,2.6844,2.7008,2.6577,2.6885,BRL
EUR/BRL,03/02/2006,2.6889,2.6937,2.6467,2.6553,BRL
EUR/BRL,06/02/2006,2.6585,2.6587,2.5959,2.6001,BRL
EUR/BRL,07/02/2006,2.6011,2.626,2.5998,2.6255,BRL
EUR/BRL,08/02/2006,2.6253,2.6371,2.6076,2.614,BRL
EUR/BRL,09/02/2006,2.6138,2.6188,2.458,2.6012,BRL
EUR/BRL,10/02/2006,2.5999,2.6036,2.5669,2.5755,BRL
EUR/BRL,13/02/2006,2.5726,2.5814,2.5582,2.5651,BRL
EUR/BRL,14/02/2006,2.5636,2.5674,2.5379,2.5461,BRL
EUR/BRL,15/02/2006,2.5482,2.5561,2.5254,2.5372,BRL
EUR/BRL,16/02/2006,2.5356,2.5378,2.506,2.5183,BRL
EUR/BRL,17/02/2006,2.5165,2.5347,2.4941,2.5272,BRL
EUR/BRL,20/02/2006,2.5283,2.5405,2.522,2.5255,BRL
EUR/BRL,21/02/2006,2.5262,2.5852,2.5099,2.5802,BRL
EUR/BRL,22/02/2006,2.5805,2.5821,2.5376,2.5491,BRL
EUR/BRL,23/02/2006,2.5474,2.5604,2.5247,2.5411,BRL
EUR/BRL,24/02/2006,2.5406,2.5482,2.53,2.5398,BRL
EUR/BRL,27/02/2006,2.5317,2.5491,2.5251,2.5344,BRL
EUR/BRL,28/02/2006,2.5329,2.5453,2.5253,2.5322,BRL
EUR/BRL,01/03/2006,2.533,2.5539,2.5153,2.5196,BRL
EUR/BRL,02/03/2006,2.5196,2.5499,2.511,2.5309,BRL
EUR/BRL,03/03/2006,2.5296,2.5577,2.5261,2.5391,BRL
EUR/BRL,06/03/2006,2.5461,2.5835,2.536,2.5679,BRL
EUR/BRL,07/03/2006,2.5686,2.5888,2.5448,2.5699,BRL
EUR/BRL,08/03/2006,2.5459,2.6102,2.5456,2.598,BRL
EUR/BRL,09/03/2006,2.5975,2.6076,2.5664,2.5715,BRL
EUR/BRL,10/03/2006,2.5711,2.5755,2.5418,2.5528,BRL
EUR/BRL,13/03/2006,2.5461,2.5556,2.5378,2.5499,BRL
EUR/BRL,14/03/2006,2.5497,2.5621,2.5441,2.5505,BRL
EUR/BRL,15/03/2006,2.5506,2.5618,2.5431,2.5519,BRL
EUR/BRL,16/03/2006,2.551,2.574,2.5451,2.5643,BRL
EUR/BRL,17/03/2006,2.5648,2.5897,2.5597,2.588,BRL
EUR/BRL,20/03/2006,2.5953,2.6189,2.5788,2.6131,BRL
EUR/BRL,21/03/2006,2.6114,2.627,2.5997,2.6046,BRL
EUR/BRL,22/03/2006,2.4795,2.6161,2.4795,2.6002,BRL
EUR/BRL,23/03/2006,2.5998,2.5998,2.5764,2.5843,BRL
EUR/BRL,24/03/2006,2.5828,2.6039,2.5786,2.5858,BRL
EUR/BRL,27/03/2006,2.596,2.6316,2.5849,2.6291,BRL
EUR/BRL,28/03/2006,2.6265,2.6999,2.6017,2.6648,BRL
EUR/BRL,29/03/2006,2.6738,2.6885,2.6574,2.6592,BRL
EUR/BRL,30/03/2006,2.6697,2.6727,2.6432,2.6637,BRL
EUR/BRL,31/03/2006,2.6546,2.6615,2.6163,2.6207,BRL
EUR/BRL,03/04/2006,2.6218,2.6218,2.5942,2.5979,BRL
EUR/BRL,04/04/2006,2.6017,2.6082,2.5897,2.6073,BRL
EUR/BRL,05/04/2006,2.6138,2.6227,2.6005,2.6146,BRL
EUR/BRL,06/04/2006,2.6152,2.6366,2.5885,2.6066,BRL
EUR/BRL,07/04/2006,2.5924,2.5968,2.5808,2.5845,BRL
EUR/BRL,10/04/2006,2.5856,2.6092,2.5856,2.5999,BRL
EUR/BRL,11/04/2006,2.5984,2.6054,2.5847,2.6021,BRL
EUR/BRL,12/04/2006,2.5955,2.597,2.5684,2.5856,BRL
EUR/BRL,13/04/2006,2.5845,2.592,2.5753,2.5857,BRL
EUR/BRL,14/04/2006,2.5838,2.5849,2.5838,2.5849,BRL
EUR/BRL,17/04/2006,2.5891,2.5891,2.5891,2.5891,BRL
EUR/BRL,18/04/2006,2.6149,2.6191,2.6068,2.6099,BRL
EUR/BRL,19/04/2006,2.6257,2.6257,2.5911,2.6117,BRL
EUR/BRL,20/04/2006,2.6097,2.6165,2.5999,2.6149,BRL
EUR/BRL,21/04/2006,2.6081,2.616,2.6021,2.6144,BRL
EUR/BRL,24/04/2006,2.6162,2.6224,2.6084,2.6141,BRL
EUR/BRL,25/04/2006,2.6159,2.6328,2.6114,2.6324,BRL
EUR/BRL,26/04/2006,2.6309,2.6493,2.6253,2.6363,BRL
EUR/BRL,27/04/2006,2.6375,2.649,2.6275,2.6302,BRL
EUR/BRL,28/04/2006,2.6307,2.6598,2.6154,2.6341,BRL
EUR/BRL,01/05/2006,2.6364,2.6364,2.6364,2.6364,BRL
EUR/BRL,02/05/2006,2.626,2.6373,2.6107,2.6117,BRL
EUR/BRL,03/05/2006,2.6026,2.6162,2.5936,2.6106,BRL
EUR/BRL,04/05/2006,2.609,2.6223,2.6033,2.6173,BRL
EUR/BRL,05/05/2006,2.6177,2.6301,2.611,2.6146,BRL
EUR/BRL,08/05/2006,2.6146,2.623,2.612,2.617,BRL
EUR/BRL,09/05/2006,2.6128,2.6377,2.6128,2.6226,BRL
EUR/BRL,10/05/2006,2.6257,2.6357,2.6199,2.6243,BRL
EUR/BRL,11/05/2006,2.6393,2.6861,2.6288,2.6823,BRL
EUR/BRL,12/05/2006,2.6876,2.7585,2.6876,2.7564,BRL
EUR/BRL,15/05/2006,2.7594,2.8321,2.7325,2.7717,BRL
EUR/BRL,16/05/2006,2.7953,2.7993,2.7269,2.7538,BRL
EUR/BRL,17/05/2006,2.7449,2.7922,2.7403,2.7805,BRL
EUR/BRL,18/05/2006,2.8032,2.825,2.7788,2.8306,BRL
EUR/BRL,19/05/2006,2.7799,2.8018,2.7497,2.8056,BRL
EUR/BRL,22/05/2006,2.8034,2.9661,2.8015,2.9537,BRL
EUR/BRL,23/05/2006,2.9335,2.9388,2.8879,2.8747,BRL
EUR/BRL,24/05/2006,3.0047,3.0441,2.9669,3.0065,BRL
EUR/BRL,25/05/2006,3.0149,3.0149,3.0149,3.0209,BRL
EUR/BRL,26/05/2006,2.9022,2.9165,2.8683,2.8729,BRL
EUR/BRL,29/05/2006,2.8497,2.863,2.8401,2.8539,BRL
EUR/BRL,30/05/2006,2.9098,3.0336,2.9098,2.9715,BRL
EUR/BRL,31/05/2006,2.9691,2.9756,2.9339,2.9447,BRL
EUR/BRL,01/06/2006,2.9416,2.9675,2.8882,2.9038,BRL
EUR/BRL,02/06/2006,2.8821,2.9539,2.8472,2.9479,BRL
EUR/BRL,05/06/2006,2.944,2.944,2.944,2.944,BRL
EUR/BRL,06/06/2006,2.9158,2.9232,2.8893,2.9071,BRL
EUR/BRL,07/06/2006,2.8909,2.8987,2.8579,2.8878,BRL
EUR/BRL,08/06/2006,2.881,2.8923,2.8453,2.8877,BRL
EUR/BRL,09/06/2006,2.8645,2.8698,2.8303,2.8565,BRL
EUR/BRL,12/06/2006,2.8486,2.8599,2.8347,2.8451,BRL
